scenario,rep,cs_p,cs_beta,or_p,or_beta,pr_p,pr_beta,rc_p,rc_beta,nn_p,nn_beta
5,0,0.048009873014850594,-0.23797528475554536,0.003663710974492151,-0.35630374471978016,0.005653926949447214,-0.3281886468693662,0.011330797502507884,-0.3001173329358437,0.02317697677115284,-0.26938641082724224
5,1,0.1967389440037041,-0.16018179556587245,0.0014265341315537687,-0.4030034179662782,0.001325974475660515,-0.392112317742773,0.0014609991303940063,-0.38828915846143575,0.001940830495655019,-0.3781558680329656
5,2,0.03988272502728168,-0.2423290448405692,0.02101573755663228,-0.27907392401383235,0.008221257696365699,-0.3095010632324284,0.008225479403878319,-0.3096000922069516,0.013941022278937044,-0.2876482416068181
5,3,0.02656459886793838,-0.2715300557441964,0.007281692219838359,-0.3376087865904968,0.0025399118773297676,-0.35884128441837304,0.0036557003348606358,-0.3450336087103854,0.0033348216894295217,-0.34874045777602297
5,4,0.05916402700064288,-0.23121062075819637,0.0011112531257348901,-0.4120550712730874,0.003807473735813814,-0.34779135715477577,0.004388945167581683,-0.3420885015368001,0.003959745544929293,-0.34613558603118966
5,5,0.00033307399837221316,-0.4396952445907266,1.2962315958279522e-06,-0.6168925448911751,4.88680687872693e-06,-0.5629292513767205,1.1621845185382818e-05,-0.5398880211538798,6.861969624037138e-06,-0.5553512954548115
5,6,0.004933015159168802,-0.33878704337459536,0.0004029104974710687,-0.44645336936030033,0.00021283052401799597,-0.44664346948124256,0.00012904880852166752,-0.4617132990319375,0.0003716229444643034,-0.4290066810420999
5,7,0.03339929862197723,-0.25386550583337697,0.0009844390583062326,-0.4168388029071303,0.0005492652194063493,-0.41659997461345316,0.004471979235055414,-0.3398018323565731,0.003497668150255807,-0.3487196289939449
5,8,0.0016819579015429288,-0.3884222492585026,7.787879743883996e-07,-0.6280617501241461,8.184058654644325e-06,-0.5417282259101838,1.5313434284106943e-06,-0.5872851629758015,1.2381947639361226e-06,-0.5922749126249545
5,9,0.21950365359481375,-0.14337112006217675,0.014817801756212364,-0.2918884757831593,0.016316155539871105,-0.2783369579065367,0.017129681266265243,-0.2761744152258572,0.024885472969648856,-0.26015601000979327
5,10,0.0059736863328138,-0.33030775924880035,0.0028409018885301083,-0.3657997692114845,0.004284734141905225,-0.34169286686972716,0.003474485216733051,-0.34960090855768305,0.004674428930066868,-0.33816688539861917
5,11,0.001710837716646874,-0.3779741732688425,0.0003774941393212876,-0.44333769444006726,3.0247310758697424e-05,-0.4991754173177332,8.528606752021641e-05,-0.4688131630888701,6.249322052129793e-05,-0.47891731884080047
5,12,3.984809049135525e-06,-0.580993525824708,1.5413759198191953e-05,-0.546102957435846,7.281548622249269e-05,-0.47897783207692846,9.600398593169078e-05,-0.4711624603594362,0.0002463262877886297,-0.44219317556703974
5,13,0.030102129022083517,-0.2599615227165105,0.0010431312875853176,-0.4062888562604097,0.0008973782440469656,-0.3951216031942571,0.0007356117075600266,-0.4021079382272217,0.001940787426619778,-0.3692681849880514
5,14,0.02181830652732185,-0.27358807534475615,0.00012741785699310122,-0.4737468922149474,9.216225758861682e-05,-0.4668813768362256,6.47764560189891e-05,-0.4775511441679102,,
5,15,0.009878931679087884,-0.30843632121094006,2.269366530570216e-05,-0.5240724671920199,0.0007137499671191907,-0.3995603010209334,0.0003535565505437549,-0.42191197020518295,0.0006813011700355984,-0.40073853920069524
5,16,0.0006535551514107917,-0.40178424667234164,0.002021079489081308,-0.3757315712223159,0.002276958524184946,-0.35616049401705246,0.0015678978906361522,-0.36925336300560657,0.0021372020262604026,-0.3585467546295611
5,17,0.0003143711565720197,-0.4387039431593323,0.0019729474879896154,-0.38534080415370864,0.0019495648324690106,-0.369511990283366,0.0015597870548581044,-0.37729292410205567,0.0015047504631594917,-0.3786567733408247
5,18,0.008052801229132024,-0.32299080201431285,0.0005000281757716162,-0.4513318256173093,0.00022378788685698472,-0.4525237503878813,0.00023008964701775133,-0.45165877864109,0.0001764461985598191,-0.46267573778176624
5,19,0.6858656860943626,-0.04825055176539584,0.03463189187951778,-0.2618999466496301,0.04524888311171278,-0.2397244947272874,0.09764397277716474,-0.19741237754271546,0.04890144973141538,-0.23603558911315528
